Date,Year,MonthNumberOfYear,WeekNumberOfYear,DayNumberOfMonth,WeekdayLongName,QuarterNumberOfYear,MonthLongName
7/1/2016 0:00,2016,7,27,1,Friday,3,July
7/2/2016 0:00,2016,7,27,2,Saturday,3,July
7/3/2016 0:00,2016,7,28,3,Sunday,3,July
7/4/2016 0:00,2016,7,28,4,Monday,3,July
7/5/2016 0:00,2016,7,28,5,Tuesday,3,July
7/6/2016 0:00,2016,7,28,6,Wednesday,3,July
7/7/2016 0:00,2016,7,28,7,Thursday,3,July
7/8/2016 0:00,2016,7,28,8,Friday,3,July
7/9/2016 0:00,2016,7,28,9,Saturday,3,July
7/10/2016 0:00,2016,7,29,10,Sunday,3,July
7/11/2016 0:00,2016,7,29,11,Monday,3,July
7/12/2016 0:00,2016,7,29,12,Tuesday,3,July
7/13/2016 0:00,2016,7,29,13,Wednesday,3,July
7/14/2016 0:00,2016,7,29,14,Thursday,3,July
7/15/2016 0:00,2016,7,29,15,Friday,3,July
7/16/2016 0:00,2016,7,29,16,Saturday,3,July
7/17/2016 0:00,2016,7,30,17,Sunday,3,July
7/18/2016 0:00,2016,7,30,18,Monday,3,July
7/19/2016 0:00,2016,7,30,19,Tuesday,3,July
7/20/2016 0:00,2016,7,30,20,Wednesday,3,July
7/21/2016 0:00,2016,7,30,21,Thursday,3,July
7/22/2016 0:00,2016,7,30,22,Friday,3,July
7/23/2016 0:00,2016,7,30,23,Saturday,3,July
7/24/2016 0:00,2016,7,31,24,Sunday,3,July
7/25/2016 0:00,2016,7,31,25,Monday,3,July
7/26/2016 0:00,2016,7,31,26,Tuesday,3,July
7/27/2016 0:00,2016,7,31,27,Wednesday,3,July
7/28/2016 0:00,2016,7,31,28,Thursday,3,July
7/29/2016 0:00,2016,7,31,29,Friday,3,July
7/30/2016 0:00,2016,7,31,30,Saturday,3,July
7/31/2016 0:00,2016,7,32,31,Sunday,3,July
8/1/2016 0:00,2016,8,32,1,Monday,3,August
8/2/2016 0:00,2016,8,32,2,Tuesday,3,August
8/3/2016 0:00,2016,8,32,3,Wednesday,3,August
8/4/2016 0:00,2016,8,32,4,Thursday,3,August
8/5/2016 0:00,2016,8,32,5,Friday,3,August
8/6/2016 0:00,2016,8,32,6,Saturday,3,August
8/7/2016 0:00,2016,8,33,7,Sunday,3,August
8/8/2016 0:00,2016,8,33,8,Monday,3,August
8/9/2016 0:00,2016,8,33,9,Tuesday,3,August
8/10/2016 0:00,2016,8,33,10,Wednesday,3,August
8/11/2016 0:00,2016,8,33,11,Thursday,3,August
8/12/2016 0:00,2016,8,33,12,Friday,3,August
8/13/2016 0:00,2016,8,33,13,Saturday,3,August
8/14/2016 0:00,2016,8,34,14,Sunday,3,August
8/15/2016 0:00,2016,8,34,15,Monday,3,August
8/16/2016 0:00,2016,8,34,16,Tuesday,3,August
8/17/2016 0:00,2016,8,34,17,Wednesday,3,August
8/18/2016 0:00,2016,8,34,18,Thursday,3,August
8/19/2016 0:00,2016,8,34,19,Friday,3,August
8/20/2016 0:00,2016,8,34,20,Saturday,3,August
8/21/2016 0:00,2016,8,35,21,Sunday,3,August
8/22/2016 0:00,2016,8,35,22,Monday,3,August
8/23/2016 0:00,2016,8,35,23,Tuesday,3,August
8/24/2016 0:00,2016,8,35,24,Wednesday,3,August
8/25/2016 0:00,2016,8,35,25,Thursday,3,August
8/26/2016 0:00,2016,8,35,26,Friday,3,August
8/27/2016 0:00,2016,8,35,27,Saturday,3,August
8/28/2016 0:00,2016,8,36,28,Sunday,3,August
8/29/2016 0:00,2016,8,36,29,Monday,3,August
8/30/2016 0:00,2016,8,36,30,Tuesday,3,August
8/31/2016 0:00,2016,8,36,31,Wednesday,3,August
9/1/2016 0:00,2016,9,36,1,Thursday,3,September
9/2/2016 0:00,2016,9,36,2,Friday,3,September
9/3/2016 0:00,2016,9,36,3,Saturday,3,September
9/4/2016 0:00,2016,9,37,4,Sunday,3,September
9/5/2016 0:00,2016,9,37,5,Monday,3,September
9/6/2016 0:00,2016,9,37,6,Tuesday,3,September
9/7/2016 0:00,2016,9,37,7,Wednesday,3,September
9/8/2016 0:00,2016,9,37,8,Thursday,3,September
9/9/2016 0:00,2016,9,37,9,Friday,3,September
9/10/2016 0:00,2016,9,37,10,Saturday,3,September
9/11/2016 0:00,2016,9,38,11,Sunday,3,September
9/12/2016 0:00,2016,9,38,12,Monday,3,September
9/13/2016 0:00,2016,9,38,13,Tuesday,3,September
9/14/2016 0:00,2016,9,38,14,Wednesday,3,September
9/15/2016 0:00,2016,9,38,15,Thursday,3,September
9/16/2016 0:00,2016,9,38,16,Friday,3,September
9/17/2016 0:00,2016,9,38,17,Saturday,3,September
9/18/2016 0:00,2016,9,39,18,Sunday,3,September
9/19/2016 0:00,2016,9,39,19,Monday,3,September
9/20/2016 0:00,2016,9,39,20,Tuesday,3,September
9/21/2016 0:00,2016,9,39,21,Wednesday,3,September
9/22/2016 0:00,2016,9,39,22,Thursday,3,September
9/23/2016 0:00,2016,9,39,23,Friday,3,September
9/24/2016 0:00,2016,9,39,24,Saturday,3,September
9/25/2016 0:00,2016,9,40,25,Sunday,3,September
9/26/2016 0:00,2016,9,40,26,Monday,3,September
9/27/2016 0:00,2016,9,40,27,Tuesday,3,September
9/28/2016 0:00,2016,9,40,28,Wednesday,3,September
9/29/2016 0:00,2016,9,40,29,Thursday,3,September
9/30/2016 0:00,2016,9,40,30,Friday,3,September
1/1/2016 0:00,2016,1,1,1,Friday,1,January
1/2/2016 0:00,2016,1,1,2,Saturday,1,January
1/3/2016 0:00,2016,1,2,3,Sunday,1,January
1/4/2016 0:00,2016,1,2,4,Monday,1,January
1/5/2016 0:00,2016,1,2,5,Tuesday,1,January
1/6/2016 0:00,2016,1,2,6,Wednesday,1,January
1/7/2016 0:00,2016,1,2,7,Thursday,1,January
1/8/2016 0:00,2016,1,2,8,Friday,1,January
1/9/2016 0:00,2016,1,2,9,Saturday,1,January
1/10/2016 0:00,2016,1,3,10,Sunday,1,January
1/11/2016 0:00,2016,1,3,11,Monday,1,January
1/12/2016 0:00,2016,1,3,12,Tuesday,1,January
1/13/2016 0:00,2016,1,3,13,Wednesday,1,January
1/14/2016 0:00,2016,1,3,14,Thursday,1,January
1/15/2016 0:00,2016,1,3,15,Friday,1,January
1/16/2016 0:00,2016,1,3,16,Saturday,1,January
1/17/2016 0:00,2016,1,4,17,Sunday,1,January
1/18/2016 0:00,2016,1,4,18,Monday,1,January
1/19/2016 0:00,2016,1,4,19,Tuesday,1,January
1/20/2016 0:00,2016,1,4,20,Wednesday,1,January
1/21/2016 0:00,2016,1,4,21,Thursday,1,January
1/22/2016 0:00,2016,1,4,22,Friday,1,January
1/23/2016 0:00,2016,1,4,23,Saturday,1,January
1/24/2016 0:00,2016,1,5,24,Sunday,1,January
1/25/2016 0:00,2016,1,5,25,Monday,1,January
1/26/2016 0:00,2016,1,5,26,Tuesday,1,January
1/27/2016 0:00,2016,1,5,27,Wednesday,1,January
1/28/2016 0:00,2016,1,5,28,Thursday,1,January
1/29/2016 0:00,2016,1,5,29,Friday,1,January
1/30/2016 0:00,2016,1,5,30,Saturday,1,January
1/31/2016 0:00,2016,1,6,31,Sunday,1,January
2/1/2016 0:00,2016,2,6,1,Monday,1,February
2/2/2016 0:00,2016,2,6,2,Tuesday,1,February
2/3/2016 0:00,2016,2,6,3,Wednesday,1,February
2/4/2016 0:00,2016,2,6,4,Thursday,1,February
2/5/2016 0:00,2016,2,6,5,Friday,1,February
2/6/2016 0:00,2016,2,6,6,Saturday,1,February
2/7/2016 0:00,2016,2,7,7,Sunday,1,February
2/8/2016 0:00,2016,2,7,8,Monday,1,February
2/9/2016 0:00,2016,2,7,9,Tuesday,1,February
2/10/2016 0:00,2016,2,7,10,Wednesday,1,February
2/11/2016 0:00,2016,2,7,11,Thursday,1,February
2/12/2016 0:00,2016,2,7,12,Friday,1,February
2/13/2016 0:00,2016,2,7,13,Saturday,1,February
2/14/2016 0:00,2016,2,8,14,Sunday,1,February
2/15/2016 0:00,2016,2,8,15,Monday,1,February
2/16/2016 0:00,2016,2,8,16,Tuesday,1,February
2/17/2016 0:00,2016,2,8,17,Wednesday,1,February
2/18/2016 0:00,2016,2,8,18,Thursday,1,February
2/19/2016 0:00,2016,2,8,19,Friday,1,February
2/20/2016 0:00,2016,2,8,20,Saturday,1,February
2/21/2016 0:00,2016,2,9,21,Sunday,1,February
2/22/2016 0:00,2016,2,9,22,Monday,1,February
2/23/2016 0:00,2016,2,9,23,Tuesday,1,February
2/24/2016 0:00,2016,2,9,24,Wednesday,1,February
2/25/2016 0:00,2016,2,9,25,Thursday,1,February
2/26/2016 0:00,2016,2,9,26,Friday,1,February
2/27/2016 0:00,2016,2,9,27,Saturday,1,February
2/28/2016 0:00,2016,2,10,28,Sunday,1,February
2/29/2016 0:00,2016,2,10,29,Monday,1,February
3/1/2016 0:00,2016,3,10,1,Tuesday,1,March
3/2/2016 0:00,2016,3,10,2,Wednesday,1,March
3/3/2016 0:00,2016,3,10,3,Thursday,1,March
3/4/2016 0:00,2016,3,10,4,Friday,1,March
3/5/2016 0:00,2016,3,10,5,Saturday,1,March
3/6/2016 0:00,2016,3,11,6,Sunday,1,March
3/7/2016 0:00,2016,3,11,7,Monday,1,March
3/8/2016 0:00,2016,3,11,8,Tuesday,1,March
3/9/2016 0:00,2016,3,11,9,Wednesday,1,March
3/10/2016 0:00,2016,3,11,10,Thursday,1,March
3/11/2016 0:00,2016,3,11,11,Friday,1,March
3/12/2016 0:00,2016,3,11,12,Saturday,1,March
3/13/2016 0:00,2016,3,12,13,Sunday,1,March
3/14/2016 0:00,2016,3,12,14,Monday,1,March
3/15/2016 0:00,2016,3,12,15,Tuesday,1,March
3/16/2016 0:00,2016,3,12,16,Wednesday,1,March
3/17/2016 0:00,2016,3,12,17,Thursday,1,March
3/18/2016 0:00,2016,3,12,18,Friday,1,March
3/19/2016 0:00,2016,3,12,19,Saturday,1,March
3/20/2016 0:00,2016,3,13,20,Sunday,1,March
3/21/2016 0:00,2016,3,13,21,Monday,1,March
3/22/2016 0:00,2016,3,13,22,Tuesday,1,March
3/23/2016 0:00,2016,3,13,23,Wednesday,1,March
3/24/2016 0:00,2016,3,13,24,Thursday,1,March
3/25/2016 0:00,2016,3,13,25,Friday,1,March
3/26/2016 0:00,2016,3,13,26,Saturday,1,March
3/27/2016 0:00,2016,3,14,27,Sunday,1,March
3/28/2016 0:00,2016,3,14,28,Monday,1,March
3/29/2016 0:00,2016,3,14,29,Tuesday,1,March
3/30/2016 0:00,2016,3,14,30,Wednesday,1,March
3/31/2016 0:00,2016,3,14,31,Thursday,1,March
4/1/2016 0:00,2016,4,14,1,Friday,2,April
4/2/2016 0:00,2016,4,14,2,Saturday,2,April
4/3/2016 0:00,2016,4,15,3,Sunday,2,April
4/4/2016 0:00,2016,4,15,4,Monday,2,April
4/5/2016 0:00,2016,4,15,5,Tuesday,2,April
4/6/2016 0:00,2016,4,15,6,Wednesday,2,April
4/7/2016 0:00,2016,4,15,7,Thursday,2,April
4/8/2016 0:00,2016,4,15,8,Friday,2,April
4/9/2016 0:00,2016,4,15,9,Saturday,2,April
4/10/2016 0:00,2016,4,16,10,Sunday,2,April
4/11/2016 0:00,2016,4,16,11,Monday,2,April
4/12/2016 0:00,2016,4,16,12,Tuesday,2,April
4/13/2016 0:00,2016,4,16,13,Wednesday,2,April
4/14/2016 0:00,2016,4,16,14,Thursday,2,April
4/15/2016 0:00,2016,4,16,15,Friday,2,April
4/16/2016 0:00,2016,4,16,16,Saturday,2,April
4/17/2016 0:00,2016,4,17,17,Sunday,2,April
4/18/2016 0:00,2016,4,17,18,Monday,2,April
4/19/2016 0:00,2016,4,17,19,Tuesday,2,April
4/20/2016 0:00,2016,4,17,20,Wednesday,2,April
4/21/2016 0:00,2016,4,17,21,Thursday,2,April
4/22/2016 0:00,2016,4,17,22,Friday,2,April
4/23/2016 0:00,2016,4,17,23,Saturday,2,April
4/24/2016 0:00,2016,4,18,24,Sunday,2,April
4/25/2016 0:00,2016,4,18,25,Monday,2,April
4/26/2016 0:00,2016,4,18,26,Tuesday,2,April
4/27/2016 0:00,2016,4,18,27,Wednesday,2,April
4/28/2016 0:00,2016,4,18,28,Thursday,2,April
4/29/2016 0:00,2016,4,18,29,Friday,2,April
4/30/2016 0:00,2016,4,18,30,Saturday,2,April
5/1/2016 0:00,2016,5,19,1,Sunday,2,May
5/2/2016 0:00,2016,5,19,2,Monday,2,May
5/3/2016 0:00,2016,5,19,3,Tuesday,2,May
5/4/2016 0:00,2016,5,19,4,Wednesday,2,May
5/5/2016 0:00,2016,5,19,5,Thursday,2,May
5/6/2016 0:00,2016,5,19,6,Friday,2,May
5/7/2016 0:00,2016,5,19,7,Saturday,2,May
5/8/2016 0:00,2016,5,20,8,Sunday,2,May
5/9/2016 0:00,2016,5,20,9,Monday,2,May
5/10/2016 0:00,2016,5,20,10,Tuesday,2,May
5/11/2016 0:00,2016,5,20,11,Wednesday,2,May
5/12/2016 0:00,2016,5,20,12,Thursday,2,May
5/13/2016 0:00,2016,5,20,13,Friday,2,May
5/14/2016 0:00,2016,5,20,14,Saturday,2,May
5/15/2016 0:00,2016,5,21,15,Sunday,2,May
5/16/2016 0:00,2016,5,21,16,Monday,2,May
5/17/2016 0:00,2016,5,21,17,Tuesday,2,May
5/18/2016 0:00,2016,5,21,18,Wednesday,2,May
5/19/2016 0:00,2016,5,21,19,Thursday,2,May
5/20/2016 0:00,2016,5,21,20,Friday,2,May
5/21/2016 0:00,2016,5,21,21,Saturday,2,May
5/22/2016 0:00,2016,5,22,22,Sunday,2,May
5/23/2016 0:00,2016,5,22,23,Monday,2,May
5/24/2016 0:00,2016,5,22,24,Tuesday,2,May
5/25/2016 0:00,2016,5,22,25,Wednesday,2,May
5/26/2016 0:00,2016,5,22,26,Thursday,2,May
5/27/2016 0:00,2016,5,22,27,Friday,2,May
5/28/2016 0:00,2016,5,22,28,Saturday,2,May
5/29/2016 0:00,2016,5,23,29,Sunday,2,May
5/30/2016 0:00,2016,5,23,30,Monday,2,May
5/31/2016 0:00,2016,5,23,31,Tuesday,2,May
6/1/2016 0:00,2016,6,23,1,Wednesday,2,June
6/2/2016 0:00,2016,6,23,2,Thursday,2,June
6/3/2016 0:00,2016,6,23,3,Friday,2,June
6/4/2016 0:00,2016,6,23,4,Saturday,2,June
6/5/2016 0:00,2016,6,24,5,Sunday,2,June
6/6/2016 0:00,2016,6,24,6,Monday,2,June
6/7/2016 0:00,2016,6,24,7,Tuesday,2,June
6/8/2016 0:00,2016,6,24,8,Wednesday,2,June
6/9/2016 0:00,2016,6,24,9,Thursday,2,June
6/10/2016 0:00,2016,6,24,10,Friday,2,June
6/11/2016 0:00,2016,6,24,11,Saturday,2,June
6/12/2016 0:00,2016,6,25,12,Sunday,2,June
6/13/2016 0:00,2016,6,25,13,Monday,2,June
6/14/2016 0:00,2016,6,25,14,Tuesday,2,June
6/15/2016 0:00,2016,6,25,15,Wednesday,2,June
6/16/2016 0:00,2016,6,25,16,Thursday,2,June
6/17/2016 0:00,2016,6,25,17,Friday,2,June
6/18/2016 0:00,2016,6,25,18,Saturday,2,June
6/19/2016 0:00,2016,6,26,19,Sunday,2,June
6/20/2016 0:00,2016,6,26,20,Monday,2,June
6/21/2016 0:00,2016,6,26,21,Tuesday,2,June
6/22/2016 0:00,2016,6,26,22,Wednesday,2,June
6/23/2016 0:00,2016,6,26,23,Thursday,2,June
6/24/2016 0:00,2016,6,26,24,Friday,2,June
6/25/2016 0:00,2016,6,26,25,Saturday,2,June
6/26/2016 0:00,2016,6,27,26,Sunday,2,June
6/27/2016 0:00,2016,6,27,27,Monday,2,June
6/28/2016 0:00,2016,6,27,28,Tuesday,2,June
6/29/2016 0:00,2016,6,27,29,Wednesday,2,June
6/30/2016 0:00,2016,6,27,30,Thursday,2,June
10/1/2016 0:00,2016,10,40,1,Saturday,4,October
10/2/2016 0:00,2016,10,41,2,Sunday,4,October
10/3/2016 0:00,2016,10,41,3,Monday,4,October
10/4/2016 0:00,2016,10,41,4,Tuesday,4,October
10/5/2016 0:00,2016,10,41,5,Wednesday,4,October
10/6/2016 0:00,2016,10,41,6,Thursday,4,October
10/7/2016 0:00,2016,10,41,7,Friday,4,October
10/8/2016 0:00,2016,10,41,8,Saturday,4,October
10/9/2016 0:00,2016,10,42,9,Sunday,4,October
10/10/2016 0:00,2016,10,42,10,Monday,4,October
10/11/2016 0:00,2016,10,42,11,Tuesday,4,October
10/12/2016 0:00,2016,10,42,12,Wednesday,4,October
10/13/2016 0:00,2016,10,42,13,Thursday,4,October
10/14/2016 0:00,2016,10,42,14,Friday,4,October
10/15/2016 0:00,2016,10,42,15,Saturday,4,October
10/16/2016 0:00,2016,10,43,16,Sunday,4,October
10/17/2016 0:00,2016,10,43,17,Monday,4,October
10/18/2016 0:00,2016,10,43,18,Tuesday,4,October
10/19/2016 0:00,2016,10,43,19,Wednesday,4,October
10/20/2016 0:00,2016,10,43,20,Thursday,4,October
10/21/2016 0:00,2016,10,43,21,Friday,4,October
10/22/2016 0:00,2016,10,43,22,Saturday,4,October
10/23/2016 0:00,2016,10,44,23,Sunday,4,October
10/24/2016 0:00,2016,10,44,24,Monday,4,October
10/25/2016 0:00,2016,10,44,25,Tuesday,4,October
10/26/2016 0:00,2016,10,44,26,Wednesday,4,October
10/27/2016 0:00,2016,10,44,27,Thursday,4,October
10/28/2016 0:00,2016,10,44,28,Friday,4,October
10/29/2016 0:00,2016,10,44,29,Saturday,4,October
10/30/2016 0:00,2016,10,45,30,Sunday,4,October
10/31/2016 0:00,2016,10,45,31,Monday,4,October
11/1/2016 0:00,2016,11,45,1,Tuesday,4,November
11/2/2016 0:00,2016,11,45,2,Wednesday,4,November
11/3/2016 0:00,2016,11,45,3,Thursday,4,November
11/4/2016 0:00,2016,11,45,4,Friday,4,November
11/5/2016 0:00,2016,11,45,5,Saturday,4,November
11/6/2016 0:00,2016,11,46,6,Sunday,4,November
11/7/2016 0:00,2016,11,46,7,Monday,4,November
11/8/2016 0:00,2016,11,46,8,Tuesday,4,November
11/9/2016 0:00,2016,11,46,9,Wednesday,4,November
11/10/2016 0:00,2016,11,46,10,Thursday,4,November
11/11/2016 0:00,2016,11,46,11,Friday,4,November
11/12/2016 0:00,2016,11,46,12,Saturday,4,November
11/13/2016 0:00,2016,11,47,13,Sunday,4,November
11/14/2016 0:00,2016,11,47,14,Monday,4,November
11/15/2016 0:00,2016,11,47,15,Tuesday,4,November
11/16/2016 0:00,2016,11,47,16,Wednesday,4,November
11/17/2016 0:00,2016,11,47,17,Thursday,4,November
11/18/2016 0:00,2016,11,47,18,Friday,4,November
11/19/2016 0:00,2016,11,47,19,Saturday,4,November
11/20/2016 0:00,2016,11,48,20,Sunday,4,November
11/21/2016 0:00,2016,11,48,21,Monday,4,November
11/22/2016 0:00,2016,11,48,22,Tuesday,4,November
11/23/2016 0:00,2016,11,48,23,Wednesday,4,November
11/24/2016 0:00,2016,11,48,24,Thursday,4,November
11/25/2016 0:00,2016,11,48,25,Friday,4,November
11/26/2016 0:00,2016,11,48,26,Saturday,4,November
11/27/2016 0:00,2016,11,49,27,Sunday,4,November
11/28/2016 0:00,2016,11,49,28,Monday,4,November
11/29/2016 0:00,2016,11,49,29,Tuesday,4,November
11/30/2016 0:00,2016,11,49,30,Wednesday,4,November
12/1/2016 0:00,2016,12,49,1,Thursday,4,December
12/2/2016 0:00,2016,12,49,2,Friday,4,December
12/3/2016 0:00,2016,12,49,3,Saturday,4,December
12/4/2016 0:00,2016,12,50,4,Sunday,4,December
12/5/2016 0:00,2016,12,50,5,Monday,4,December
12/6/2016 0:00,2016,12,50,6,Tuesday,4,December
12/7/2016 0:00,2016,12,50,7,Wednesday,4,December
12/8/2016 0:00,2016,12,50,8,Thursday,4,December
12/9/2016 0:00,2016,12,50,9,Friday,4,December
12/10/2016 0:00,2016,12,50,10,Saturday,4,December
12/11/2016 0:00,2016,12,51,11,Sunday,4,December
12/12/2016 0:00,2016,12,51,12,Monday,4,December
12/13/2016 0:00,2016,12,51,13,Tuesday,4,December
12/14/2016 0:00,2016,12,51,14,Wednesday,4,December
12/15/2016 0:00,2016,12,51,15,Thursday,4,December
12/16/2016 0:00,2016,12,51,16,Friday,4,December
12/17/2016 0:00,2016,12,51,17,Saturday,4,December
12/18/2016 0:00,2016,12,52,18,Sunday,4,December
12/19/2016 0:00,2016,12,52,19,Monday,4,December
12/20/2016 0:00,2016,12,52,20,Tuesday,4,December
12/21/2016 0:00,2016,12,52,21,Wednesday,4,December
12/22/2016 0:00,2016,12,52,22,Thursday,4,December
12/23/2016 0:00,2016,12,52,23,Friday,4,December
12/24/2016 0:00,2016,12,52,24,Saturday,4,December
12/25/2016 0:00,2016,12,53,25,Sunday,4,December
12/26/2016 0:00,2016,12,53,26,Monday,4,December
12/27/2016 0:00,2016,12,53,27,Tuesday,4,December
12/28/2016 0:00,2016,12,53,28,Wednesday,4,December
12/29/2016 0:00,2016,12,53,29,Thursday,4,December
12/30/2016 0:00,2016,12,53,30,Friday,4,December
12/31/2016 0:00,2016,12,53,31,Saturday,4,December
1/1/2014 0:00,2014,1,1,1,Wednesday,1,January
1/2/2014 0:00,2014,1,1,2,Thursday,1,January
1/3/2014 0:00,2014,1,1,3,Friday,1,January
1/4/2014 0:00,2014,1,1,4,Saturday,1,January
1/5/2014 0:00,2014,1,2,5,Sunday,1,January
1/6/2014 0:00,2014,1,2,6,Monday,1,January
1/7/2014 0:00,2014,1,2,7,Tuesday,1,January
1/8/2014 0:00,2014,1,2,8,Wednesday,1,January
1/9/2014 0:00,2014,1,2,9,Thursday,1,January
1/10/2014 0:00,2014,1,2,10,Friday,1,January
1/11/2014 0:00,2014,1,2,11,Saturday,1,January
1/12/2014 0:00,2014,1,3,12,Sunday,1,January
1/13/2014 0:00,2014,1,3,13,Monday,1,January
1/14/2014 0:00,2014,1,3,14,Tuesday,1,January
1/15/2014 0:00,2014,1,3,15,Wednesday,1,January
1/16/2014 0:00,2014,1,3,16,Thursday,1,January
1/17/2014 0:00,2014,1,3,17,Friday,1,January
1/18/2014 0:00,2014,1,3,18,Saturday,1,January
1/19/2014 0:00,2014,1,4,19,Sunday,1,January
1/20/2014 0:00,2014,1,4,20,Monday,1,January
1/21/2014 0:00,2014,1,4,21,Tuesday,1,January
1/22/2014 0:00,2014,1,4,22,Wednesday,1,January
1/23/2014 0:00,2014,1,4,23,Thursday,1,January
1/24/2014 0:00,2014,1,4,24,Friday,1,January
1/25/2014 0:00,2014,1,4,25,Saturday,1,January
1/26/2014 0:00,2014,1,5,26,Sunday,1,January
1/27/2014 0:00,2014,1,5,27,Monday,1,January
1/28/2014 0:00,2014,1,5,28,Tuesday,1,January
1/29/2014 0:00,2014,1,5,29,Wednesday,1,January
1/30/2014 0:00,2014,1,5,30,Thursday,1,January
1/31/2014 0:00,2014,1,5,31,Friday,1,January
2/1/2014 0:00,2014,2,5,1,Saturday,1,February
2/2/2014 0:00,2014,2,6,2,Sunday,1,February
2/3/2014 0:00,2014,2,6,3,Monday,1,February
2/4/2014 0:00,2014,2,6,4,Tuesday,1,February
2/5/2014 0:00,2014,2,6,5,Wednesday,1,February
2/6/2014 0:00,2014,2,6,6,Thursday,1,February
2/7/2014 0:00,2014,2,6,7,Friday,1,February
2/8/2014 0:00,2014,2,6,8,Saturday,1,February
2/9/2014 0:00,2014,2,7,9,Sunday,1,February
2/10/2014 0:00,2014,2,7,10,Monday,1,February
2/11/2014 0:00,2014,2,7,11,Tuesday,1,February
2/12/2014 0:00,2014,2,7,12,Wednesday,1,February
2/13/2014 0:00,2014,2,7,13,Thursday,1,February
2/14/2014 0:00,2014,2,7,14,Friday,1,February
2/15/2014 0:00,2014,2,7,15,Saturday,1,February
2/16/2014 0:00,2014,2,8,16,Sunday,1,February
2/17/2014 0:00,2014,2,8,17,Monday,1,February
